"year","month","fleet","sex","partition","InputN","U18","U20","U22","U24","U26","U28","U30","U32","U34","U36","U38","U40","U42","U44","U46","U48","U50","U52","U54","U56","U58","U60","U62","U64","U66","U68","U70","U72","U74","U76","U78","U80","U82","U84","U86","U88","U90","U18","U20","U22","U24","U26","U28","U30","U32","U34","U36","U38","U40","U42","U44","U46","U48","U50","U52","U54","U56","U58","U60","U62","U64","U66","U68","U70","U72","U74","U76","U78","U80","U82","U84","U86","U88","U90"
2004,7,7,3,0,783,0.0606479623568441,0.0721649377727469,0.300461638483054,0.694954364308678,0.461568662727689,0.347485628161538,0.0224145769705807,0,0.0138311813882975,0.0618349079018096,0.200228929588183,0.535666046947458,0.800692743762691,1.26314204350761,3.01343626861438,8.05260344455651,5.34546331619792,5.28765546452837,4.75741738487383,3.94604100507215,3.97496689052565,2.68601159675077,2.34666003658855,1.21046148127471,0.782056347345582,0.488174711537322,0.346414674448765,0.203141112870233,0.177969759150055,0.135220575248316,0.0940378441483292,0.0930389630303175,0.0250215778591908,0,0,0.00886155075268789,0,0.0947968586619029,0.0619486474654163,0.368700872109928,0.539796707534681,0.581349936817109,0.130731803955876,0.0650714178602827,0,0.0126149563517105,0.16798883090999,0.376595073504812,0.701162742666737,1.60478753922495,2.90655035831566,6.70573444248852,6.67615990368218,7.95918722653799,7.07385197703461,5.5703681004173,4.52148211525318,2.50782899821931,1.57883577443963,0.908612445342509,0.524738039766865,0.325112718159803,0.0736210294137719,0.0720478198062608,0.0647200639608242,0.0158559708473561,0,0,0,0,0,0,0,0
2005,7,7,3,0,1056,0,0,0,0.0226937519663108,0,0,0.0165603054889295,0.198510471203502,0.64092383741998,1.64353242172607,1.63993927166405,1.3074523539446,1.46794857665995,1.94722822009876,2.10188126907108,3.18284053222834,3.45584285887091,2.93602835003599,3.33226211214643,3.59899979559552,3.51118983351399,3.42171695305598,2.87700294746542,1.98981303418383,2.10866905916998,0.986317232085154,0.717095010825041,0.372660992146302,0.366291391579952,0.174934421321461,0.149756131544125,0.0563079905884724,0.0382044837264905,0.0119864599741123,0.0373041462622974,0.0127523208043093,0,0.00920180967502311,0,0.0312526977324747,0.0279186611847431,0.0589680040072725,0.0101037870981674,0.038983464228297,0.354798559250143,0.809195105522831,1.20657519894014,1.38110619035961,1.98293996621947,2.56283929110741,3.43704892929048,4.11880446467673,5.15325613193771,6.53949703377345,7.94444986724204,7.03921384566176,5.45755379524548,3.93668046331333,1.78681399533097,1.02727192697276,0.386685921096721,0.231808197748087,0.0968707352867475,0.0361742145449403,0.00934120618587268,0,0,0,0,0,0,0,0,0
2006,7,7,3,0,944,0,0,0.0147679313817854,0,0,0,0.0176049239618096,0,0.0163050128753658,0.12047532498094,0.107016356991214,0.150014808666757,0.426300228369756,0.818744833736031,1.83764700740643,2.18460196659167,3.18147263885409,3.72404973286012,3.76783030374088,3.63495875144952,3.85202941919665,4.08691864531812,4.51885846008658,3.26912973505513,2.7415957625216,2.40090680928369,1.29852427322342,0.793653653029869,0.460755114005009,0.283577957107171,0.289016582321206,0.241631383344196,0.0767816562340957,0.039373908506935,0.0788654969868767,0,0,0,0,0.0278593757635054,0.0127782346074097,0.0146593037143945,0,0,0.0145307609746487,0.013221797582589,0.046686360983462,0.0571707413478018,0.178706996546926,0.833224901799231,1.92068199636,3.84093853435604,4.95652838430991,6.5935509528122,6.93118022675193,9.75199633664054,7.6302372860956,5.95041903756357,2.9580164747255,1.83567179432104,1.09017821762891,0.409033860637981,0.319548198702526,0.0887650984084291,0.0401505963287795,0,0,0.0508558529501473,0,0,0,0,0,0
2007,7,7,3,0,1004,0,0,0.0239780749985048,0,0,0,0.019651249822111,0.0530010869509307,0.124763852673721,0.128469390132479,0.261237365090549,0.135650507907752,0.0834320821076097,0.224754866190662,0.666996742576393,1.51087288806302,3.26473382309498,3.90368588015743,4.53875892332049,3.55925445877317,4.63371912005891,3.5453501203392,3.79008100038619,2.30737382791198,2.95108034974868,1.48445000555225,1.21697757443829,0.929006682978159,0.563590663780368,0.296622524645001,0.281594623682701,0.133310593127045,0.0251682040680024,0.0294667888935945,0.0108604320511441,0.00747562429077637,0,0,0.0211419369108546,0.0198327949344072,0.019651249822111,0,0,0,0.0504534038750401,0.0302555015481259,0.170549529994833,0.178942965686663,0.0290270462882547,0.198719279919467,0.624396173392123,2.36611375757938,4.74947228365899,8.71908122842702,6.81733767925437,10.5110626027054,9.32767087404188,6.87380426068224,3.77480498777042,2.94732640025997,0.938225140346979,0.614346642842569,0.156118710735196,0.063762677774269,0.0556617314300278,0.0266488053171739,0.0102230069901928,0,0,0,0,0,0,0
2008,7,7,3,0,909,0,0.0504167809675263,0.458807579011264,0.457415764943257,0.295115091799117,0.0190223942883542,0.0636726875345989,0,0.0181525104958495,0.0695401940188811,0.161119314832383,0.285276986713563,0.513461535871314,0.855724329224189,0.957736443394248,1.2766133931125,1.94236632636064,3.08513547065091,4.02091155739953,4.28526082371148,3.80832037674162,4.52961679317957,3.97200444572352,3.78823447936501,2.15430088505906,1.68986151001051,1.16730828546915,1.35816359562144,0.644468841099282,0.307815395169687,0.20251455904861,0.0818336162606984,0.107077082703837,0.0757809087109153,0.0327721703634296,0,0,0.0228751376661254,0.123711505677928,0.125122962283186,0.255002224657647,0.0644864497921034,0.0318377468056745,0,0.027182465477399,0.123809718364178,0.0401240914484699,0.119272292259404,0.330875733901313,0.623950807903169,0.379701469351581,1.16329559571662,4.49763593645965,6.76742091016559,9.24974655514794,9.07950468480126,7.52118644067797,6.92829329024397,5.16447482141005,2.16424000890761,1.2233147713227,0.629248680807198,0.271661902322489,0.199380171318843,0.0338609281424356,0.0447260573184951,0,0,0.0582345107930691,0,0,0,0,0
2009,7,7,3,0,987,0,0.0574145541567057,0.18535351838309,0.197430700460727,0.266410497877213,0.242951033491882,1.78762350084171,6.78757160326395,5.95371826792978,3.923887892084,2.24120481194341,1.1184385408653,0.235616762249104,0.124995755833684,0.137472285374049,0.326236969969599,0.708027218256407,1.52563221365336,2.22459582782178,2.86786542447908,2.70520786035435,2.1444395791687,1.19189032616836,1.51694684614901,1.2011861499263,0.898049759397552,0.702452186937538,0.403332141155078,0.404776477132608,0.150071961709088,0.103941172424336,0.0701426550061899,0,0.0474467007478353,0.0176944351546803,0,0.0153722384551199,0,0.0818275265807958,0.172766156727518,0.275143364859499,0.235312413742267,0.55251040898282,2.26757405916289,6.58446031708892,6.77569321529772,4.83270068133603,2.57379615651817,1.56492131887402,0.262381838451461,0.327320661762727,0.953722666029587,1.95859875132669,4.15154937139719,4.74206639969614,5.19524132637542,5.24147942929553,3.31218785586125,2.84390633595536,0.979043406254415,0.8665171430014,0.387597499275633,0.131256890722877,0.151159171982063,0.0634188400170083,0.0304489246030231,0,0,0,0,0,0,0,0
2010,7,7,3,0,1047,0,0.136028072068504,0.114867681994931,0.461531408560846,0.169440986823095,0.0219623505448785,0,0.0479113497318884,0.192906223920498,0.360492808708895,1.01535773246498,2.73648698710734,5.09727759468101,6.02885255916742,4.5105182693752,1.796595629387,1.02699984103923,1.96487472072411,1.64130156205903,3.34167666907129,2.7495604162078,2.58904202895915,2.02425557861385,1.65743549122584,1.87351647837224,1.02573059651377,0.763180104577329,0.841149185359713,0.335636243864687,0.17466951651003,0.230632044201872,0.0638874126641893,0.0797813851545456,0.0624476726054681,0,0.0103286615031358,0,0.0195143714684271,0.0744791845581732,0.320521078131241,0.327761876087383,0.0749843565086017,0.0470251939355118,0,0.0956416795148733,0.170453435607079,0.456730170148649,1.17089596623565,4.56250046307429,6.77868770472093,6.36964576669273,2.79877889836142,2.45625968667215,3.47893399288583,4.85046952364979,5.68579870716394,5.4208591728786,4.2222040079669,2.56554311373172,1.42493852057363,0.816136859164122,0.336069849788804,0.127000228337722,0.0973971520426123,0.0902426542946688,0,0,0.0141911220407869,0,0,0,0,0,0
2011,7,7,3,0,1071,0,0.194656467684688,0.468843684412986,0.185150950154437,0.0647276901229839,0.0270099468478135,0.351501264055368,0.952234943480963,2.82704235577833,4.3851206639976,2.93722933813739,1.05891653143064,0.873128749172893,1.86261179573484,2.59108009373492,3.58298460513808,3.05525367605696,2.13881658673735,1.57185943007735,2.58161966166331,2.10442013891544,2.97293326425991,1.89640522554743,2.12808812614145,1.15671064834561,0.948090838407498,1.21645827384949,0.564394799760544,0.383624653337439,0.264828226938633,0.13912057544224,0.0739270022466272,0.0906499502810712,0.0768481642544412,0.0414166294445503,0,0,0.0832258780914371,0.422298584047964,0.939252209952987,0.964178832899408,0.203790030181145,0.0136064157058501,0.443498142413354,1.06706197095854,3.39547418264807,4.10658457907117,2.51452310640087,1.07305082271475,1.4403357544162,3.17172068709262,3.00373790387671,3.48253796040636,3.50540943786304,5.01119237117971,4.69015009155823,5.42094216923913,3.80519204517428,2.04990618373553,1.59263631226797,0.950762151832007,0.437411605496752,0.158608764940029,0.172230209132093,0.0430021347401099,0.025584119218276,0.0179158341276671,0.0173954727925131,0,0,0.00907908423393259,0,0,0
2012,7,7,3,0,1006,0.0524062815495624,0.251813431521284,0.0551110399624669,0.179170139060773,0.361379427637141,0.212149990663504,0.348359338626039,0.716174736790287,0.647190698864918,1.45183092991139,1.21814234271571,2.25408597885196,3.32112587113909,3.94476739405691,3.26630901069101,2.64175320323925,2.74871179531387,3.12630495863275,2.63506749758482,2.9470120684077,2.74376153715442,3.14663932391537,2.09362904314557,1.51917264191468,1.21983969502177,1.41905213625015,0.649017151533413,0.32523979175392,0.20725687528742,0.351703249652948,0.249921370471882,0.0897967094687984,0.092433743101411,0.0459639618243033,0.0148507744783652,0.0101714154400774,0.0124042167903233,0,0.12228344001503,0.0378412209880533,0.0895004135550217,0.374151897920301,0.256719245293673,0.257309720721842,0.419061892851313,0.861266612967971,1.54885725967634,1.73346866155369,2.76044722989881,4.63579507336509,3.45230242136619,3.86193152216248,3.86345321331966,5.14837642220187,5.61809010151331,5.27228737334329,5.27484821659807,3.37241257741445,1.79612678171992,1.2355476112507,0.720094308449676,0.509391934964909,0.13772257352218,0.0579046871495044,0,0.0130878137913938,0,0,0,0,0,0,0,0
2013,7,7,3,0,706,0,0.0962606507009468,0.131301313778662,0.467800925972996,0.369437077937635,0.0553948287500975,0.068737672123776,0.0798317888688112,0.557688191007478,0.7446175791174,0.615503191856133,0.95699864530169,2.62062773682291,3.53068820085562,3.3982824592824,3.46002675107525,3.25391540585469,3.03993750453782,2.54250442199731,3.08422824878301,2.32275917481461,2.54374042422228,2.24465978261273,1.95924095269297,1.38040316877479,1.22811373979546,0.665702824157432,0.400339127113698,0.296662463062971,0.216936332448874,0.131680088654054,0.0498168703219559,0.218150405602104,0.0162853260898818,0,0,0,0,0.0962606507009468,0.201970737766937,0.544098147188807,0.582880707325,0.0363005879263874,0,0.0401561174474832,0.627408684255297,1.14969537927745,1.18688309783304,2.02331969384943,4.31241973710552,5.50622444739836,4.12808794721999,4.8613362994197,5.30052178033282,6.58354990285222,6.61431639049393,5.54383878607676,4.06756968989222,2.09048644701631,0.741399986228543,0.499962899997731,0.275628496166858,0.0953874749355694,0.128318960022943,0,0,0,0.0137036762812887,0,0,0,0,0,0
2014,7,7,3,0,1090,0,0.012095816767694,0.0328291283121072,0.0996022303249094,0.146979323862637,0.0879999116306041,0.034465598607282,0.740850558504299,3.95763464788094,6.65009876865327,8.19909333408884,3.12739317799514,2.47511273873992,1.60842017152152,1.47860716535678,2.20564361328345,1.74844833210692,1.58284393069732,1.98993125853106,1.38834815762339,1.69188654903752,1.45259879409527,0.817722472127715,1.07568772280607,0.66933169263549,0.637770828802143,0.390207392437492,0.291231623397455,0.113505835371804,0.0859568807464718,0.0365661616502289,0.0589295510277264,0.00942248912143586,0.0165360209357736,0,0,0.0146988273309563,0,0,0.0382026319454037,0.115383940734001,0.208138565667538,0.0461829816192168,0.0860911224503729,2.00896801063665,5.06912782934847,8.68152733409119,6.30571893694276,4.49441991756179,2.29136269444016,2.51415022623435,2.72486367563195,3.31406841294753,3.05022593262314,3.36394368067023,3.49817771361678,2.62513615305007,1.52996804126933,1.29844584927464,0.879106728598203,0.419841568196754,0.324174537534773,0.0841593204066158,0.0758452842116772,0,0.0243182042847804,0,0,0,0,0,0,0,0
2015,7,7,3,0,997,0,0,0.0589288336675007,0.0301779110632678,0.0588913709633255,0,0.0341438491552637,0.110661422432994,0.528661761368296,1.25888819685057,1.98393456205554,2.46207446114327,2.89659585261981,3.05533725016123,4.51863047524233,4.34823306815188,2.90771205865869,2.71273911762935,2.46589395411895,2.40582591367449,2.91386786209475,3.40021379624703,1.9816254971982,2.16409100358361,1.39886418530062,1.20177800718576,0.675394659371384,0.57892819612039,0.193794568698017,0.0984587979730361,0.0467653747619075,0.0556968240072996,0,0.0720748371325965,0.00915452262025324,0.00716048504802174,0.0217045285189263,0,0,0.054452040518571,0.0647849354701515,0.117065841996754,0.0287832767578386,0.0255206157942216,0.14309560999772,0.57367660613511,1.52097727525988,3.29251873884463,2.96216069347689,3.34466001165567,5.35025653097539,5.52496555474636,4.35810789640241,4.51150064149772,4.49963858707572,4.24821956795557,4.31288530391244,3.66381330277467,2.32957057932598,1.04118901718843,0.596290456655379,0.668426596394807,0.0752438413357756,0.0269646327551544,0,0.0083286402782103,0,0,0,0,0,0,0,0
2016,7,7,3,0,1018,0,0,0.180718644837396,0.498511516693132,0.245950174349267,0.0566358398160345,0.0367387508198911,0.0391098024646254,0.11231790444682,0.228159757209666,0.822052139007345,1.60358556553957,1.93037906322243,2.81353639909809,4.61022462727512,4.6876427263908,5.64314809329213,3.8648978454068,3.56396504156259,2.91408103652137,2.67152931375323,2.02070659313495,2.18709518413642,1.66565625062173,0.972452445982399,0.736650774262146,0.51183257678045,0.338611943530954,0.292882606622737,0.165473301481593,0.236728674268723,0.102000399548138,0.0610633646233506,0.029362889387295,0.0306831150384561,0.0167780768113977,0.0464471782318517,0,0.0837983531180609,0.781314225568601,0.589041514671296,0.512565477712273,0.216860031199158,0.0179543995398721,0.0630060540796219,0.211160806144842,0.425577834237922,1.37486358295755,2.5029286336379,3.17498372851168,4.20933618401677,5.66594666679919,7.28271440937279,5.71503429633337,6.00331702929952,4.2436051590938,3.76228167521274,3.14120837392525,1.63199133316202,1.092668278279,0.409198000398611,0.563058670677341,0.19944610426426,0.0697812044744907,0.0622413606416236,0.0371788260369448,0.0193281704645911,0,0,0,0,0,0,0
2017,7,7,3,0,1082,0,0.0146563888630649,0.019035291551158,0.0145817935653699,0.0242490267198372,3.32092710368957,1.21932838758574,6.11051745686696,8.30473417072904,6.09327562672846,0.71660052087357,1.1410620489638,1.48991092646923,1.87799058202624,2.75926736466439,2.42228390089443,2.28827662285344,2.23435771325893,1.66318151880867,1.38612426679865,1.38591238441052,1.34401839551784,0.971378379449694,0.627991623582922,0.728342138157554,0.377733922620314,0.158893539059229,0.157160388738316,0.0943559094811457,0.0402505116424016,0.0307705602991684,0,0.0101521025894845,0,0,0.0161387720130029,0.00734446255496592,0,0,0.00633028393311325,0,0.0298508161499296,0.56468878425179,1.11581233426105,7.81823792336849,10.1801305822429,3.33003328497733,0.835234025486436,1.32659404497009,2.56837403002802,2.79510723093883,2.94201949548105,3.32931272614428,3.26762003424956,2.82366373931705,2.78334894874791,2.14443943042364,1.23293012591012,0.830074252873536,0.342589221035033,0.256164220119455,0.316467376202854,0.0240776162485382,0.0800502772306464,0.00604539338127827,0,0,0,0,0,0,0,0,0
